PRECINCT,HOUR,INCIDENT_COUNT,AVG_SEVERITY,SAFETY_INDEX
78.0,4,98,2.326530612244898,54.66759389925844
78.0,5,97,2.288659793814433,54.92026233262898
78.0,6,115,2.252173913043478,53.54863369433177
78.0,7,202,2.113861386138614,50.31069067933506
78.0,8,389,2.0154241645244215,48.037625772601885
78.0,9,379,2.1556728232189974,47.92781033935126
78.0,10,478,2.1569037656903767,47.38628272188492
78.0,11,486,2.1296296296296298,47.37829268958603
78.0,12,563,2.216696269982238,47.026803293966644
78.0,13,498,2.1726907630522088,47.28883497352618
78.0,14,546,2.2014652014652016,47.09216544517566
78.0,15,585,2.1606837606837606,47.005183782201854
78.0,16,543,2.162062615101289,47.13445888662162
78.0,17,563,2.1989342806394316,47.04059926674062
78.0,18,548,2.18978102189781,47.09512095114337
78.0,19,523,2.21414913957935,47.159544855838526
78.0,20,442,2.169683257918552,47.54150097186221
78.0,21,399,2.1979949874686717,47.74931899557912
78.0,22,293,2.242320819112628,48.563170698511755
78.0,23,288,2.2604166666666665,48.59307216241925
79.0,0,643,2.245723172628305,46.79497744897637
79.0,1,424,2.1910377358490565,47.613276185230795
79.0,2,380,2.2157894736842105,47.850347498650464
79.0,3,325,2.233846153846154,48.25482729693673
79.0,4,262,2.2061068702290076,49.00659699242715
79.0,5,218,2.261467889908257,49.64241339378554
79.0,6,277,2.220216606498195,48.78473325302632
79.0,7,387,2.0361757105943155,48.023824940581314
79.0,8,640,2.03125,46.958485636789916
79.0,9,712,2.032303370786517,46.79191708494507
79.0,10,726,1.9862258953168044,46.79702476601441
79.0,11,724,2.0179558011049723,46.77780156606379
79.0,12,855,2.017543859649123,46.554520359571015
79.0,13,724,2.0621546961325965,46.74653159255509
79.0,14,790,2.072151898734177,46.62094549552824
79.0,15,946,2.134249471458774,46.37458791898824
79.0,16,971,2.146240988671473,46.341659803086806
79.0,17,958,2.138830897703549,46.35913072931855
79.0,18,984,2.108739837398374,46.34609603510938
79.0,19,1009,2.178394449950446,46.28861204831275
79.0,20,1007,2.204568023833168,46.27900191135653
79.0,21,851,2.1668625146886016,46.4747788406406
79.0,22,813,2.1918819188191883,46.51499592959554
79.0,23,659,2.189681335356601,46.79600039809932
81.0,0,408,2.213235294117647,47.67933905603671
81.0,1,314,2.2770700636942673,48.29999599589655
81.0,2,237,2.210970464135021,49.38663076514747
81.0,3,192,2.265625,50.21888693101715
81.0,4,174,2.2528735632183907,50.756389680655296
81.0,5,150,2.1066666666666665,52.064149535161995
81.0,6,142,2.1338028169014085,52.353551316409444
81.0,7,258,2.104651162790698,49.244296310062055
81.0,8,373,2.005361930294906,48.16847537245472
81.0,9,360,1.9722222222222223,48.32098989822999
81.0,10,439,2.1138952164009113,47.61574861445567
81.0,11,343,2.0991253644314867,48.27929367553997
81.0,12,551,2.047186932849365,47.208499190713255
81.0,13,454,2.013215859030837,47.65093068721136
81.0,14,524,2.135496183206107,47.22369734615158
81.0,15,633,2.1248025276461298,46.903628335859906
81.0,16,657,2.1552511415525113,46.82416617522212
81.0,17,612,2.2107843137254903,46.89425795022022
81.0,18,667,2.1694152923538232,46.79191708494507
81.0,19,674,2.1379821958456975,46.79805055567539
81.0,20,599,2.1402337228714523,46.981506875401735
81.0,21,572,2.1975524475524475,47.01457459638131
81.0,22,482,2.224066390041494,47.307211588348736
81.0,23,431,2.273781902552204,47.49387299099121
83.0,0,766,2.22976501305483,46.566819068245124
83.0,1,655,2.267175572519084,46.75422274260496
83.0,2,521,2.343570057581574,47.064571040563116
83.0,3,458,2.351528384279476,47.29798062398569
83.0,4,411,2.3090024330900243,47.564921826523054
83.0,5,322,2.2732919254658386,48.23076200650732
83.0,6,256,2.2421875,49.03229549506045
83.0,7,328,2.1219512195121952,48.381377531091395
83.0,8,455,2.1054945054945056,47.5438210544377
83.0,9,439,2.123006833712984,47.605890731408856
83.0,10,529,2.1247637051039696,47.21522387870673
83.0,11,566,2.164310954063604,47.05887076570266
83.0,12,694,2.154178674351585,46.74462166649756
83.0,13,616,2.1525974025974026,46.926336151059694
83.0,14,691,2.141823444283647,46.759071934760556
83.0,15,832,2.1490384615384617,46.51098205689404
83.0,16,815,2.2208588957055215,46.49649219820255
83.0,17,859,2.228172293364377,46.43250392510954
83.0,18,823,2.1822600243013364,46.505671944678696
83.0,19,788,2.204314720812183,46.54598385874184
83.0,20,836,2.248803827751196,46.45264426024735
83.0,21,721,2.245492371705964,46.6354220275589
83.0,22,737,2.260515603799186,46.59828017422067
83.0,23,682,2.2492668621700878,46.70837353593953
84.0,0,342,2.280701754385965,48.051568151617545
84.0,1,272,2.3088235294117645,48.71298750772343
84.0,2,181,2.320441988950276,50.393887826248175
84.0,3,170,2.3529411764705883,50.64763912433316
84.0,4,140,2.2642857142857142,52.04287102516006
84.0,5,128,2.4140625,52.216955404722825
84.0,6,143,2.1888111888111887,52.12880085468864
84.0,7,443,2.049661399548533,47.666340833616616
84.0,8,514,2.1070038910505837,47.287015977119
84.0,9,624,2.1618589743589745,46.89892925069664
84.0,10,805,2.1043478260869564,46.57713276414344
84.0,11,797,2.1342534504391466,46.571954694597785
84.0,12,978,2.1390593047034763,46.33774852989928
84.0,13,861,2.1498257839721253,46.47040746363755
84.0,14,988,2.11336032388664,46.33970042006278
84.0,15,1007,2.16583912611718,46.296170853046355
84.0,16,973,2.134635149023638,46.345106883284096
84.0,17,890,2.18876404494382,46.41306664068496
84.0,18,810,2.188888888888889,46.521067676118626
84.0,19,697,2.2281205164992826,46.69137371510474
84.0,20,676,2.2544378698224854,46.7174910665917
84.0,21,484,2.165289256198347,47.35274631484798
84.0,22,365,2.180821917808219,47.99663938202822
84.0,23,303,2.2706270627062706,48.41698817837678
88.0,0,365,2.1561643835616437,48.02726199658643
88.0,1,218,2.165137614678899,49.83477479656939
88.0,2,187,2.1497326203208558,50.62112779468249
88.0,3,168,2.3452380952380953,50.72878801661414
88.0,4,145,2.110344827586207,52.284583772763746
88.0,5,121,2.2644628099173554,53.098098740146554
88.0,6,152,2.1973684210526314,51.7006310379433
88.0,7,172,2.0406976744186047,51.39154250247974
88.0,8,293,1.9419795221843004,49.0649267220421
88.0,9,365,2.0027397260273974,48.23474545403394
88.0,10,332,2.0180722891566263,48.50022142262888
88.0,11,373,2.0214477211796247,48.14579940289579
88.0,12,447,2.011185682326622,47.689841735420416
88.0,13,409,2.0171149144254277,47.902511445050145
88.0,14,422,2.075829383886256,47.75209349002093
88.0,15,487,2.059548254620123,47.443997361970084
88.0,16,529,2.047258979206049,47.287015977119
88.0,17,493,2.0892494929006085,47.388289926600784
88.0,18,496,2.129032258064516,47.3373380993154
88.0,19,503,2.1232604373757455,47.3146585910596
88.0,20,479,2.1482254697286014,47.39030103258917
88.0,21,441,2.133786848072562,47.584016916529215
88.0,22,388,2.131443298969072,47.89626319938992
88.0,23,381,2.1784776902887137,47.88694729095074
90.0,0,690,2.3492753623188407,46.63379764734544
90.0,1,477,2.3857442348008386,47.19189429329529
90.0,2,436,2.38302752293578,47.37036417822882
90.0,3,378,2.378306878306878,47.689841735420416
90.0,4,279,2.4336917562724016,48.458053181063754
90.0,5,194,2.4278350515463916,49.844362722115086
90.0,6,247,2.2388663967611335,49.173311962041915
90.0,7,263,2.091254752851711,49.19433623530097
90.0,8,466,2.1266094420600856,47.46973058696409
90.0,9,529,2.1890359168241966,47.159544855838526
90.0,10,483,2.093167701863354,47.427181255165564
90.0,11,509,2.06090373280943,47.350807435486395
90.0,12,735,2.1904761904761907,46.64278168064405
90.0,13,588,2.1360544217687076,47.01592468613595
90.0,14,669,2.100149476831091,46.83595147587508
90.0,15,797,2.1455457967377667,46.56535946917647
90.0,16,715,2.176223776223776,46.6887274840304
90.0,17,709,2.1847672778561353,46.69491796778532
90.0,18,672,2.224702380952381,46.74462166649756
90.0,19,684,2.219298245614035,46.723019245255905
90.0,20,660,2.2181818181818183,46.7748119355279
90.0,21,630,2.242857142857143,46.827362150404014
90.0,22,608,2.1546052631578947,46.945969424788075
90.0,23,591,2.3045685279187818,46.88384784392724
94.0,0,371,2.4016172506738545,47.71112999464261
94.0,1,319,2.3510971786833856,48.16087640310031
94.0,2,235,2.4468085106382977,49.02583734961608
94.0,3,191,2.392670157068063,49.98299950987424
94.0,4,150,2.453333333333333,51.11101105996661
94.0,5,113,2.327433628318584,53.42346606193963
94.0,6,104,2.2884615384615383,54.27479003225382
94.0,7,173,2.208092485549133,50.8987333407628
94.0,8,300,2.11,48.68617766851984
94.0,9,329,2.1185410334346506,48.37698367791128
94.0,10,370,2.1216216216216215,48.03416237908844
94.0,11,397,2.1032745591939546,47.87156953390641
94.0,12,552,2.2844202898550723,47.0091956503644
94.0,13,457,2.1903719912472646,47.44824338693996
94.0,14,419,2.1670644391408116,47.666340833616616
94.0,15,551,2.1833030852994555,47.09069137736134
94.0,16,488,2.194672131147541,47.30906812403855
94.0,17,503,2.194831013916501,47.24957826302119
94.0,18,464,2.25,47.36053897557709
94.0,19,462,2.2532467532467533,47.36642277128611
94.0,20,449,2.1959910913140313,47.480637629167006
94.0,21,345,2.2202898550724637,48.101513175141
94.0,22,352,2.2642045454545454,47.99327956080177
94.0,23,331,2.3504531722054383,48.05859310351232
100.0,0,241,2.199170124481328,49.34058055117843
100.0,1,168,2.1488095238095237,51.22332420226004
100.0,2,147,2.2244897959183674,51.83724383370405
100.0,3,99,2.1515151515151514,55.32595531015351
